Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)",Authority,"Stage of procedure","Cases / Persons","Recognized decisions","Complementary protection","Rejected decisions","Otherwise closed","Total decisions"
2000,Afghanistan,AFG,-,-,G,FI,C,1718,695,654,2217,5284
2000,Afghanistan,AFG,-,-,U,FI,P,1457,5,761,707,2930
2000,Afghanistan,AFG,-,-,G,AR,C,48,0,30,55,133
2000,Afghanistan,AFG,-,-,G,FA,P,325,0,538,3343,4206
2000,Afghanistan,AFG,-,-,G,AR,P,517,354,3048,637,4556
2000,Afghanistan,AFG,-,-,G,FI,P,85830,8332,150779,7554,252495
2000,Afghanistan,AFG,-,-,G,BL,C,0,10,0,0,10
2000,Afghanistan,AFG,-,-,G,NA,P,31,721,2450,142,3344
2000,Afghanistan,AFG,-,-,G,RA,P,0,31,17,55,103
2000,Afghanistan,AFG,-,-,G,CA,P,0,46,0,0,46
2000,Afghanistan,AFG,-,-,U,FI,C,62,0,138,180,380
2000,Afghanistan,AFG,-,-,G,EO,C,151,0,31,68,250
2000,Afghanistan,AFG,-,-,G,IN,C,182,0,51,40,273
2000,Albania,ALB,-,-,G,AR,C,5,0,23,0,28
2000,Albania,ALB,-,-,G,FI,C,30,35,1525,400,1990
2000,Albania,ALB,-,-,G,FA,P,48,0,148,19,215
2000,Albania,ALB,-,-,G,AR,P,54,50,277,14,395
2000,Albania,ALB,-,-,G,FI,P,419,42,641,695,1797
2000,Albania,ALB,-,-,G,BL,C,0,5,0,0,5
2000,Albania,ALB,-,-,G,NA,P,5,5,364,47,421
2000,Albania,ALB,-,-,G,RA,P,0,0,0,158,158
2000,Albania,ALB,-,-,G,CA,P,0,10,0,0,10
2000,Albania,ALB,-,-,G,EO,C,389,0,404,405,1198
2000,Albania,ALB,-,-,G,IN,C,253,0,650,71,974
2000,Algeria,DZA,-,-,G,AR,C,5,0,43,5,53
2000,Algeria,DZA,-,-,G,FI,C,75,45,800,623,1543
2000,Algeria,DZA,-,-,G,FA,P,0,0,63,60,123
2000,Algeria,DZA,-,-,G,AR,P,54,23,984,93,1154
2000,Algeria,DZA,-,-,G,FI,P,310,56,2808,1265,4439
2000,Algeria,DZA,-,-,G,BL,C,0,415,0,85,500
2000,Algeria,DZA,-,-,G,NA,P,10,5,1292,129,1436
2000,Algeria,DZA,-,-,G,RA,P,5,5,21,429,460
2000,Algeria,DZA,-,-,U,FI,P,0,0,30,50,80
2000,Algeria,DZA,-,-,G,CA,P,0,42,0,0,42
2000,Algeria,DZA,-,-,U,FI,C,5,0,17,33,55
2000,Algeria,DZA,-,-,G,EO,C,32,0,45,46,123
2000,Algeria,DZA,-,-,G,IN,C,50,0,30,34,114
2000,Angola,AGO,-,-,G,FI,C,70,200,215,225,710
2000,Angola,AGO,-,-,G,FA,P,31,0,60,32,123
2000,Angola,AGO,-,-,G,AR,P,42,37,292,146,517
2000,Angola,AGO,-,-,G,FI,P,1224,848,875,1565,4512
2000,Angola,AGO,-,-,U,FI,C,79,0,5,0,84
2000,Angola,AGO,-,-,G,BL,C,0,240,0,90,330
2000,Angola,AGO,-,-,G,NA,P,12,64,268,21,365
2000,Angola,AGO,-,-,G,RA,P,0,28,5,106,139
2000,Angola,AGO,-,-,G,CA,P,0,166,0,0,166
2000,Angola,AGO,-,-,G,EO,C,10,0,15,21,46
2000,Angola,AGO,-,-,G,IN,C,31,0,28,5,64
2000,Egypt,EGY,-,-,G,AR,C,20,0,49,5,74
2000,Egypt,EGY,-,-,G,FI,C,5,0,78,5,88
2000,Egypt,EGY,-,-,G,FA,P,5,0,10,5,20
2000,Egypt,EGY,-,-,G,FI,P,30,5,112,70,217
2000,Egypt,EGY,-,-,G,AR,P,0,5,27,0,32
2000,Egypt,EGY,-,-,G,NA,P,11,0,101,10,122
2000,Egypt,EGY,-,-,G,RA,P,0,0,0,37,37
2000,Egypt,EGY,-,-,U,FI,P,0,0,19,10,29
2000,Egypt,EGY,-,-,G,EO,C,218,0,75,140,433
2000,Egypt,EGY,-,-,G,IN,C,294,0,254,65,613
2000,Argentina,ARG,-,-,G,FI,C,0,0,5,0,5
2000,Argentina,ARG,-,-,G,FI,P,67,0,322,156,545
2000,Argentina,ARG,-,-,G,EO,C,15,0,41,55,111
2000,Argentina,ARG,-,-,G,IN,C,0,0,5,5,10
2000,Armenia,ARM,-,-,G,FI,P,326,137,2543,2295,5301
2000,Armenia,ARM,-,-,G,AR,C,15,0,26,5,46
2000,Armenia,ARM,-,-,G,FI,C,0,0,69,57,126
2000,Armenia,ARM,-,-,G,FA,P,30,0,64,45,139
2000,Armenia,ARM,-,-,G,AR,P,77,145,771,138,1131
2000,Armenia,ARM,-,-,G,NA,P,11,19,1109,70,1209
2000,Armenia,ARM,-,-,G,RA,P,0,5,36,428,469
2000,Armenia,ARM,-,-,U,FI,P,0,0,10,0,10
2000,Armenia,ARM,-,-,G,CA,P,0,5,0,0,5
2000,Armenia,ARM,-,-,G,EO,C,84,0,160,296,540
2000,Armenia,ARM,-,-,G,IN,C,794,0,846,96,1736
2000,Australia,AUS,-,-,G,FI,P,5,0,0,0,5
2000,Australia,AUS,-,-,G,EO,C,0,0,5,0,5
2000,Austria,AUT,-,-,G,FI,P,0,0,0,5,5
2000,Azerbaijan,AZE,-,-,G,FA,P,17,0,18,5,40
2000,Azerbaijan,AZE,-,-,G,AR,P,24,67,410,164,665
2000,Azerbaijan,AZE,-,-,G,FI,P,214,100,429,2831,3574
2000,Azerbaijan,AZE,-,-,G,FI,C,5,0,0,10,15
2000,Azerbaijan,AZE,-,-,G,NA,P,239,13,1270,42,1564
2000,Azerbaijan,AZE,-,-,G,RA,P,5,0,5,153,163
2000,Azerbaijan,AZE,-,-,U,FI,P,5,0,5,33,43
2000,Azerbaijan,AZE,-,-,G,EO,C,32,0,34,123,189
2000,Azerbaijan,AZE,-,-,G,IN,C,180,0,87,38,305
